2016-07-19 11:03:32,807 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SSMS:SSMS:0.0.1-SNAPSHOT @ C:\Users\206-001\Documents\GitHub\SSMS\SSMS\pom.xml.
2016-07-19 11:03:36,139 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-19 11:03:36,143 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-19 11:03:36,146 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-07-19 11:03:36,153 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-19 11:03:36,153 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\206-001\Documents\GitHub\SSMS\SSMS\src\test\resources
2016-07-19 11:03:47,592 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-19 11:03:47,613 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-19 11:03:47,614 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-07-19 11:03:47,619 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-19 11:03:47,620 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\206-001\Documents\GitHub\SSMS\SSMS\src\test\resources
2016-07-19 11:05:24,569 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-19 11:05:24,570 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-07-19 11:05:24,570 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-07-19 11:05:24,571 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-19 11:05:24,572 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\206-001\Documents\GitHub\SSMS\SSMS\src\test\resources
2016-07-19 11:05:28,688 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-19 11:05:28,698 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-19 11:05:28,701 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-07-19 11:05:28,703 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-19 11:05:28,703 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\206-001\Documents\GitHub\SSMS\SSMS\src\test\resources
2016-07-19 11:05:28,718 [Worker-10] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SSMS
2016-07-19 11:05:28,719 [Worker-10] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SSMS
